Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,UTM_easting(scaled),UTM_northing(scaled)
0,6,200821,0,GPS1_Frame,42.331899166666666,-71.0978615,29.9,327162.1966251733,4688759.024381818,19,T,113.8268903727876,0.0
1,7,200822,0,GPS1_Frame,42.33190316666667,-71.09787483333334,29.9,327161.1090341468,4688759.495650549,19,T,112.7392993462854,0.4712687311694026
2,8,200823,0,GPS1_Frame,42.3319095,-71.0978865,30.2,327160.1651533282,4688760.222630821,19,T,111.79541852767579,1.198249002918601
3,9,200824,0,GPS1_Frame,42.331915,-71.09789866666667,30.3,327159.1777944426,4688760.858092174,19,T,110.8080596420914,1.8337103556841612
4,10,200825,0,GPS1_Frame,42.3319205,-71.0979105,30.2,327158.2178994224,4688761.492876174,19,T,109.848164621857,2.4684943556785583
5,11,200826,0,GPS1_Frame,42.33192483333334,-71.0979215,30.0,327157.32346794195,4688761.996417155,19,T,108.95373314141762,2.9720353363081813
6,12,200827,0,GPS1_Frame,42.33192866666666,-71.09793433333333,30.2,327156.2766166562,4688762.448163349,19,T,107.90688185568433,3.423781530931592
7,13,200828,0,GPS1_Frame,42.33193333333334,-71.09794749999999,30.2,327155.20458458853,4688762.993122509,19,T,106.83484978799243,3.968740690499544
8,14,200829,0,GPS1_Frame,42.3319375,-71.097961,30.1,327154.103719326,4688763.483238174,19,T,105.73398452549009,4.458856355398893
9,15,200830,0,GPS1_Frame,42.33194100000001,-71.09797533333334,30.3,327152.93236875825,4688763.901019578,19,T,104.56263395771384,4.876637759618461
10,16,200831,0,GPS1_Frame,42.33194516666667,-71.0979895,30.3,327151.7765764245,4688764.392490653,19,T,103.4068416239461,5.368108835071325
11,17,200832,0,GPS1_Frame,42.3319485,-71.09800366666667,30.2,327150.6185014007,4688764.7914266335,19,T,102.24876660015434,5.76704481523484
12,18,200833,0,GPS1_Frame,42.331952666666666,-71.09801633333333,30.3,327149.5862959027,4688765.279849211,19,T,101.21656110219192,6.255467392504215
13,19,200834,0,GPS1_Frame,42.3319565,-71.09802966666666,30.7,327148.49825004535,4688765.732612897,19,T,100.12851524481084,6.708231078460813
14,20,200835,0,GPS1_Frame,42.331959000000005,-71.098045,30.8,327147.24176966585,4688766.041385531,19,T,98.87203486531507,7.017003713175654
15,21,200836,0,GPS1_Frame,42.331964333333325,-71.0980615,30.8,327145.8969284041,4688766.667149799,19,T,97.5271936035715,7.642767980694771
16,22,200837,0,GPS1_Frame,42.33196783333333,-71.09807783333333,31.1,327144.56079677906,4688767.0889979135,19,T,96.19106197851943,8.064616095274687
17,23,200838,0,GPS1_Frame,42.331972166666674,-71.098094,31.4,327143.24068007607,4688767.603042801,19,T,94.87094527552836,8.57866098266095
18,24,200839,0,GPS1_Frame,42.33197516666667,-71.09810983333334,30.9,327141.9443744925,4688767.968353913,19,T,93.57463969197124,8.943972094915807
19,25,200840,0,GPS1_Frame,42.33197916666666,-71.09812416666666,30.9,327140.77439509326,4688768.441658572,19,T,92.40466029272648,9.417276754043996
20,26,200841,0,GPS1_Frame,42.331982,-71.09813983333333,30.7,327139.49136500526,4688768.788124303,19,T,91.12163020472508,9.76374248508364
21,27,200842,0,GPS1_Frame,42.331985,-71.0981555,30.8,327138.2087916317,4688769.153097335,19,T,89.83905683114426,10.128715516999364
22,28,200843,0,GPS1_Frame,42.33198683333333,-71.09817083333334,30.5,327136.95048580965,4688769.387843609,19,T,88.58075100911083,10.36346179060638
23,29,200844,0,GPS1_Frame,42.33198966666667,-71.09818383333332,30.6,327135.8871653344,4688769.728889366,19,T,87.51743053388782,10.704507547430694
24,30,200845,0,GPS1_Frame,42.331991,-71.09819783333334,30.8,327134.7373444765,4688769.905404526,19,T,86.36760967597365,10.881022707559168
25,31,200846,0,GPS1_Frame,42.33199433333333,-71.09821216666666,31.1,327133.5655393778,4688770.304682177,19,T,85.1958045772626,11.280300358310342
26,32,200847,0,GPS1_Frame,42.33199616666668,-71.09822600000001,31.3,327132.4308203324,4688770.536380102,19,T,84.0610855318373,11.511998283676803
27,33,200848,0,GPS1_Frame,42.331998000000006,-71.09824166666667,31.5,327131.1450512445,4688770.771805031,19,T,82.77531644393457,11.747423212975264
28,34,200849,0,GPS1_Frame,42.33200133333333,-71.09825666666667,32.0,327129.9183191519,4688771.172438513,19,T,81.5485843513743,12.148056694306433
29,35,200850,0,GPS1_Frame,42.33200416666667,-71.09827266666666,32.1,327128.6078263477,4688771.519583879,19,T,80.23809154715855,12.49520206078887
30,36,200851,0,GPS1_Frame,42.33200883333334,-71.09828949999999,32.3,327127.2336974666,4688772.072001191,19,T,78.86396266607335,13.047619372606277
31,37,200852,0,GPS1_Frame,42.33201266666666,-71.0983055,32.5,327125.9259447432,4688772.53018942,19,T,77.5562099426752,13.505807601846755
32,38,200853,0,GPS1_Frame,42.332017166666674,-71.098321,32.8,327124.6612142053,4688773.061389693,19,T,76.29147940478288,14.037007874809206
33,39,200854,0,GPS1_Frame,42.33202083333334,-71.09833666666667,32.9,327123.38046882063,4688773.500393721,19,T,75.01073402009206,14.47601190302521
34,40,200855,0,GPS1_Frame,42.33202616666667,-71.09835233333334,33.3,327122.1042900298,4688774.124468579,19,T,73.7345552292536,15.1000867607072
35,41,200856,0,GPS1_Frame,42.33203183333333,-71.09836816666666,33.6,327120.8152929351,4688774.785896616,19,T,72.44555813458283,15.76151479780674
36,42,200857,0,GPS1_Frame,42.3320365,-71.09838333333333,33.9,327119.5784834452,4688775.334927244,19,T,71.20874864468351,16.310545425862074
37,43,200858,0,GPS1_Frame,42.332041,-71.09839883333333,34.1,327118.31375384773,4688775.866128692,19,T,69.94401904719416,16.841746874153614
38,44,200859,0,GPS1_Frame,42.33204583333333,-71.09841416666667,34.2,327117.0636695669,4688776.434005662,19,T,68.69393476634286,17.409623843617737
39,45,200900,0,GPS1_Frame,42.33203916666666,-71.09843550000001,32.4,327115.2877303205,4688775.737093765,19,T,66.91799551993608,16.71271194703877
40,46,200901,0,GPS1_Frame,42.33204316666667,-71.09845133333333,32.0,327113.9941674445,4688776.213452495,19,T,65.6244326439919,17.18907067645341
41,47,200902,0,GPS1_Frame,42.33204916666667,-71.09846533333332,32.4,327112.85713476344,4688776.908168955,19,T,64.48739996290533,17.883787136524916
42,48,200903,0,GPS1_Frame,42.332054333333325,-71.09848066666667,32.6,327111.60796440905,4688777.5130610345,19,T,63.23822960851248,18.488679216243327
43,49,200904,0,GPS1_Frame,42.33206,-71.098496,32.7,327110.3601642908,4688778.173474525,19,T,61.9904294902808,19.14909270685166
44,50,200905,0,GPS1_Frame,42.33206416666667,-71.09851133333333,32.7,327109.10825428367,4688778.66732471,19,T,60.738519483129494,19.642942891456187
45,51,200906,0,GPS1_Frame,42.3320685,-71.09852516666666,32.9,327107.9803874459,4688779.17663255,19,T,59.610652645351365,20.152250731363893
46,52,200907,0,GPS1_Frame,42.33207216666666,-71.0985375,33.2,327106.9742803365,4688779.608862687,19,T,58.60454553598538,20.584480868652463
47,53,200908,0,GPS1_Frame,42.33207433333334,-71.09855333333333,32.9,327105.67569509614,4688779.881645337,19,T,57.30596029560547,20.857263518497348
48,54,200909,0,GPS1_Frame,42.33207900000001,-71.09856783333333,33.1,327104.4938148201,4688780.429323281,19,T,56.12408001953736,21.404941462911665
49,55,200910,0,GPS1_Frame,42.33208333333334,-71.09858200000001,33.2,327103.33848495025,4688780.939309596,19,T,54.968750149710104,21.914927777834237
50,56,200911,0,GPS1_Frame,42.33208666666666,-71.098596,33.4,327102.1941468603,4688781.337914891,19,T,53.82441205973737,22.31353307235986
51,57,200912,0,GPS1_Frame,42.332090333333326,-71.09861083333334,33.7,327100.9820632527,4688781.775228805,19,T,52.61232845217455,22.75084698665887
52,58,200913,0,GPS1_Frame,42.332095,-71.0986255,33.9,327099.7864518231,4688782.323246428,19,T,51.41671702254098,23.29886460956186
53,59,200914,0,GPS1_Frame,42.332099500000005,-71.098641,34.1,327098.5217248282,4688782.854451534,19,T,50.15199002769077,23.830069716088474
54,60,200915,0,GPS1_Frame,42.332104,-71.09865716666667,34.2,327097.20207079384,4688783.38701235,19,T,48.83233599329833,24.36263053212315
55,61,200916,0,GPS1_Frame,42.3321075,-71.09867233333333,34.2,327095.96206749,4688783.806497835,19,T,47.59233268944081,24.78211601637304
56,62,200917,0,GPS1_Frame,42.33211133333332,-71.09868633333333,34.9,327094.8191003882,4688784.260625539,19,T,46.44936558767222,25.236243721097708
57,63,200918,0,GPS1_Frame,42.33211133333332,-71.09870183333334,34.7,327093.5420426016,4688784.292140952,19,T,45.17230780108366,25.267759134061635
58,64,200919,0,GPS1_Frame,42.332116,-71.098715,35.3,327092.470018356,4688784.837109966,19,T,44.10028355545364,25.81272814795375
59,65,200920,0,GPS1_Frame,42.3321205,-71.09872783333334,36.0,327091.4250011478,4688785.362894326,19,T,43.05526634724811,26.33851250819862
60,66,200921,0,GPS1_Frame,42.33212400000001,-71.09874166666667,36.4,327090.29485290335,4688785.779669789,19,T,41.92511810280848,26.755287970416248
61,67,200922,0,GPS1_Frame,42.332126,-71.09875933333333,36.1,327088.8447627578,4688786.037676267,19,T,40.47502795729088,27.013294449076056
62,68,200923,0,GPS1_Frame,42.33213066666667,-71.09877083333335,36.6,327087.9100571145,4688786.579257138,19,T,39.54032231395831,27.554875319823623
63,69,200924,0,GPS1_Frame,42.332138333333326,-71.098784,37.5,327086.84625493863,4688787.457354113,19,T,38.4765201380942,28.432972295209765
64,70,200925,0,GPS1_Frame,42.33214633333333,-71.09879500000001,38.4,327085.9618798664,4688788.368059786,19,T,37.59214506583521,29.34367796778679
65,71,200926,0,GPS1_Frame,42.332148833333335,-71.09880916666665,38.6,327084.8015283338,4688788.674471582,19,T,36.43179353326559,29.650089764036238
66,72,200927,0,GPS1_Frame,42.3321495,-71.09882666666667,37.8,327083.3615167398,4688788.784083846,19,T,34.99178193928674,29.759702027775347
67,73,200928,0,GPS1_Frame,42.33216016666667,-71.09883599999999,39.4,327082.6217682389,4688789.987513952,19,T,34.25203343835892,30.963132133707404
68,74,200929,0,GPS1_Frame,42.33216349999999,-71.09884916666667,39.6,327081.5460916206,4688790.38442821,19,T,33.17635682004038,31.360046391375363
69,75,200930,0,GPS1_Frame,42.33216883333333,-71.09886233333333,40.1,327080.4758962047,4688791.003427356,19,T,32.10616140416823,31.979045537300408
70,76,200931,0,GPS1_Frame,42.33217283333333,-71.09887916666666,40.0,327079.0999474919,4688791.481826105,19,T,30.730212691356428,32.45744428690523
71,77,200932,0,GPS1_Frame,42.33217833333333,-71.09888966666668,40.8,327078.24991784105,4688792.113910182,19,T,29.880183040513657,33.089528364129364
72,78,200933,0,GPS1_Frame,42.332183,-71.0989005,41.5,327077.37014094274,4688792.654136882,19,T,29.000406142207794,33.62975506391376
73,79,200934,0,GPS1_Frame,42.332189500000005,-71.098912,42.3,327076.44046147127,4688793.399297005,19,T,28.070726670732256,34.374915186315775
74,80,200935,0,GPS1_Frame,42.33218983333333,-71.098931,41.3,327074.87595126114,4688793.474947122,19,T,26.506216460606083,34.45056530367583
75,81,200936,0,GPS1_Frame,42.33219333333333,-71.09894616666666,41.6,327073.63595090475,4688793.894436652,19,T,25.26621610420989,34.870054833590984
76,82,200937,0,GPS1_Frame,42.33219816666666,-71.098962,41.7,327072.34467777645,4688794.463338563,19,T,23.97494297591038,35.43895674496889
77,83,200938,0,GPS1_Frame,42.33220316666667,-71.098977,42.1,327071.1225205491,4688795.049053175,19,T,22.752785748569295,36.024671357125044
78,84,200939,0,GPS1_Frame,42.33220533333333,-71.09898716666666,42.5,327070.2908199009,4688795.310319204,19,T,21.921085100388154,36.28593738563359
79,85,200940,0,GPS1_Frame,42.33218866666666,-71.09903166666666,36.2,327066.57875417324,4688793.550106542,19,T,18.20901937270537,34.52572472393513
80,86,200941,0,GPS1_Frame,42.332184833333336,-71.0990505,34.9,327065.0165558168,4688793.162743426,19,T,16.646821016271133,34.138361607678235
81,87,200942,0,GPS1_Frame,42.3321855,-71.09906333333333,34.9,327063.9610353117,4688793.262869596,19,T,15.59130051115062,34.23848777730018
82,88,200943,0,GPS1_Frame,42.332188333333335,-71.09907783333333,34.8,327062.7741353987,4688793.606977085,19,T,14.404400598141365,34.58259526640177
83,89,200944,0,GPS1_Frame,42.33218983333333,-71.09909083333334,34.8,327061.70716721786,4688793.799977834,19,T,13.337432417320088,34.77559601608664
84,90,200945,0,GPS1_Frame,42.332195500000005,-71.09910333333333,35.6,327060.6928146947,4688794.454638435,19,T,12.32307989418041,35.430256616324186
85,91,200946,0,GPS1_Frame,42.33220066666666,-71.09912250000001,35.3,327059.12782051734,4688795.067335777,19,T,10.758085716806818,36.04295395873487
86,92,200947,0,GPS1_Frame,42.33220716666666,-71.09914,35.5,327057.7037989797,4688795.82470048,19,T,9.334064179158304,36.80031866207719
87,93,200948,0,GPS1_Frame,42.33221066666667,-71.099156,35.6,327056.39514099737,4688796.245887846,19,T,8.025406196829863,37.2215060275048
88,94,200949,0,GPS1_Frame,42.33221316666666,-71.09917416666667,35.1,327054.90522903844,4688796.560439483,19,T,6.535494237905368,37.53605766501278
89,95,200950,0,GPS1_Frame,42.33221516666667,-71.09919066666666,35.0,327053.5512645298,4688796.816080701,19,T,5.181529729277827,37.791698882356286
90,96,200951,0,GPS1_Frame,42.332218833333336,-71.09920833333334,34.6,327052.1057459636,4688797.2591654975,19,T,3.73601116304053,38.2347836792469
91,97,200952,0,GPS1_Frame,42.33222366666667,-71.09922266666668,34.3,327050.9380610257,4688797.825020799,19,T,2.568326225155033,38.8006389811635
92,98,200953,0,GPS1_Frame,42.3322265,-71.09923916666666,33.7,327049.5863810675,4688798.173198097,19,T,1.2166462669847533,39.148816279135644
93,99,200954,0,GPS1_Frame,42.3322275,-71.09924983333333,33.1,327048.7102882273,4688798.30593419,19,T,0.3405534267658368,39.28155237156898
94,100,200955,0,GPS1_Frame,42.33222766666666,-71.09925249999999,33.0,327048.49103660125,4688798.329864699,19,T,0.12130180071108043,39.30548288114369
95,101,200956,0,GPS1_Frame,42.33222850000001,-71.099254,33.0,327048.36973480054,4688798.425450697,19,T,0.0,39.40106887836009
