Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1667362682.3112185,0,15483,0,GPS1_Frame,42.33701166666667,-71.089495,13.1,327865.47061521315,4689309.757828745,19,T
1667362683.3107984,0,15484,0,GPS1_Frame,42.337016666666656,-71.08949166666667,13.2,327865.75887253985,4689310.306292766,19,T
1667362684.311038,0,15485,0,GPS1_Frame,42.33703333333333,-71.08948999999998,13.5,327865.94165561453,4689312.153625158,19,T
1667362685.310238,0,15486,0,GPS1_Frame,42.33706166666666,-71.08949833333332,13.5,327865.3324285905,4689315.316695614,19,T
1667362686.3111422,0,15487,0,GPS1_Frame,42.33709999999999,-71.08952333333333,13.6,327863.37741698325,4689319.623929692,19,T
1667362687.311698,0,15488,0,GPS1_Frame,42.33713666666666,-71.089565,13.6,327860.0447900527,4689323.779834183,19,T
1667362688.3112712,0,15489,0,GPS1_Frame,42.33716166666667,-71.08961666666667,13.6,327855.8564904713,4689326.660490718,19,T
1667362689.3114,0,15490,0,GPS1_Frame,42.33717166666667,-71.08967333333334,13.5,327851.2153416248,4689327.885636798,19,T
1667362690.3111672,0,15491,0,GPS1_Frame,42.337165000000006,-71.08972499999999,13.5,327846.9406339735,4689327.249956654,19,T
1667362691.3112679,0,15492,0,GPS1_Frame,42.337141666666675,-71.089765,13.4,327843.58159231953,4689324.739951999,19,T
1667362692.3122485,0,15493,0,GPS1_Frame,42.33711,-71.08978666666667,13.3,327841.7101847435,4689321.267477001,19,T
1667362693.3115501,0,15494,0,GPS1_Frame,42.337075000000006,-71.08978833333335,13.2,327841.47736472264,4689317.384368023,19,T
1667362694.3108318,0,15495,0,GPS1_Frame,42.337041666666664,-71.08976999999999,13.1,327842.8967795775,4689313.645836896,19,T
1667362695.3102016,0,15496,0,GPS1_Frame,42.33701333333333,-71.08973333333333,13.1,327845.8402206998,4689310.425400291,19,T
1667362696.31132,0,15497,0,GPS1_Frame,42.33700000000001,-71.08968333333333,13.0,327849.9230553536,4689308.843606685,19,T
1667362697.3115478,0,15498,0,GPS1_Frame,42.337003333333335,-71.08963333333334,12.9,327854.0513706377,4689309.112521845,19,T
1667362698.311632,0,15499,0,GPS1_Frame,42.33702499999999,-71.08959,12.9,327857.68048203003,4689311.4307127455,19,T
1667362699.3113577,0,15500,0,GPS1_Frame,42.33705833333334,-71.08956166666667,12.8,327860.1056602195,4689315.074766223,19,T
1667362700.3120985,0,15501,0,GPS1_Frame,42.33709999999999,-71.08955333333333,12.8,327860.905889218,4689319.684661884,19,T
1667362701.3114557,0,15502,0,GPS1_Frame,42.33713833333332,-71.08957166666666,12.8,327859.50010974775,4689323.978401057,19,T
1667362702.3113024,0,15503,0,GPS1_Frame,42.337165000000006,-71.08961,12.8,327856.4148140351,4689327.017135464,19,T
1667362703.311857,0,15504,0,GPS1_Frame,42.337174999999995,-71.08966000000001,12.8,327852.32289309526,4689328.228784323,19,T
1667362704.3126128,0,15505,0,GPS1_Frame,42.33716833333333,-71.08971,12.7,327848.1854927352,4689327.5897292225,19,T
1667362705.3118207,0,15506,0,GPS1_Frame,42.33714833333333,-71.08975166666669,12.7,327844.6982410314,4689325.453239618,19,T
1667362706.3107953,0,15507,0,GPS1_Frame,42.33711499999999,-71.08977833333333,12.6,327842.41036478034,4689321.805816885,19,T
1667362707.3115826,0,15508,0,GPS1_Frame,42.33707833333333,-71.08978333333334,12.6,327841.8983826338,4689317.744386065,19,T
1667362708.311576,0,15509,0,GPS1_Frame,42.337041666666664,-71.089765,12.6,327843.3087012558,4689313.635713754,19,T
1667362709.3115513,0,15510,0,GPS1_Frame,42.33701333333333,-71.08972666666668,12.6,327846.38944985205,4689310.411903013,19,T
1667362710.3118618,0,15511,0,GPS1_Frame,42.33700166666666,-71.089675,12.6,327850.6141399188,4689309.01180613,19,T
1667362711.3186436,0,15512,0,GPS1_Frame,42.33700999999999,-71.089625,12.6,327854.75609867414,4689309.835933594,19,T
1667362712.318256,0,15513,0,GPS1_Frame,42.33703333333333,-71.08958333333332,12.5,327858.2524499936,4689312.342569563,19,T
1667362713.3096285,0,15514,0,GPS1_Frame,42.337068333333335,-71.08955666666668,12.5,327860.54486815195,4689316.175067898,19,T
1667362714.3095343,0,15515,0,GPS1_Frame,42.33710666666666,-71.08955500000002,12.6,327860.7867730302,4689320.428318461,19,T
1667362715.3112955,0,15516,0,GPS1_Frame,42.337141666666675,-71.08957833333334,12.6,327858.95997724973,4689324.362038615,19,T
1667362716.3130283,0,15517,0,GPS1_Frame,42.337166666666654,-71.08962166666667,12.5,327855.45821321424,4689327.225825056,19,T
1667362717.311383,0,15518,0,GPS1_Frame,42.33717333333334,-71.089675,12.5,327851.08258267806,4689328.074081667,19,T
1667362718.3111105,0,15519,0,GPS1_Frame,42.33716166666667,-71.08972666666668,12.5,327846.7942307979,4689326.883189691,19,T
1667362719.3181794,0,15520,0,GPS1_Frame,42.33713666666666,-71.08976666666666,12.4,327843.4306407347,4689324.188114459,19,T
1667362720.3174868,0,15521,0,GPS1_Frame,42.33709999999999,-71.08978666666667,12.4,327841.6828953469,4689320.157053171,19,T
1667362721.3182003,0,15522,0,GPS1_Frame,42.33706166666666,-71.08978000000002,12.4,327842.1275147748,4689315.886930888,19,T
1667362722.3122978,0,15523,0,GPS1_Frame,42.33702666666667,-71.08975,12.4,327844.50353297853,4689311.939708756,19,T
1667362723.3188314,0,15524,0,GPS1_Frame,42.337005,-71.08970166666667,12.4,327848.42631897976,4689309.435935432,19,T
1667362724.3178966,0,15525,0,GPS1_Frame,42.33700166666666,-71.08964666666667,12.4,327852.94836424396,4689308.954444601,19,T
1667362725.3179913,0,15526,0,GPS1_Frame,42.337016666666656,-71.08959833333333,12.4,327856.9712066455,4689310.522230078,19,T
1667362726.317574,0,15527,0,GPS1_Frame,42.33704833333333,-71.08956666666667,12.4,327859.66645215725,4689313.974464574,19,T
1667362727.318185,0,15528,0,GPS1_Frame,42.33708666666667,-71.08955333333333,12.4,327860.8695074307,4689318.2040968025,19,T
1667362728.3194442,0,15529,0,GPS1_Frame,42.33712666666668,-71.08956166666667,12.4,327860.29211762024,4689322.662662265,19,T
1667362729.3186886,0,15530,0,GPS1_Frame,42.33715833333334,-71.08959333333334,12.4,327857.76969233784,4689326.243111776,19,T
1667362730.3179865,0,15531,0,GPS1_Frame,42.337174999999995,-71.08963833333335,12.4,327854.1078832563,4689328.184919844,19,T
1667362731.318619,0,15532,0,GPS1_Frame,42.33717333333334,-71.08969166666667,12.4,327849.7095132839,4689328.107824125,19,T
1667362732.3123224,0,15533,0,GPS1_Frame,42.337154999999996,-71.08974166666665,12.3,327845.5402755564,4689326.173276086,19,T
1667362733.3190606,0,15534,0,GPS1_Frame,42.33712,-71.08977666666667,12.3,327842.5613164851,4689322.357654404,19,T
1667362734.3191924,0,15535,0,GPS1_Frame,42.33707833333333,-71.089785,12.3,327841.76107548526,4689317.747760473,19,T
1667362735.3187404,0,15536,0,GPS1_Frame,42.33703999999999,-71.08976833333332,12.3,327843.02953861427,4689313.457391875,19,T
1667362736.3117385,0,15537,0,GPS1_Frame,42.33701166666667,-71.08973,12.3,327846.11028717377,4689310.233581013,19,T
1667362737.3117886,0,15538,0,GPS1_Frame,42.33700000000001,-71.08968,12.3,327850.19766998803,4689308.836858203,19,T
1667362738.3109317,0,15539,0,GPS1_Frame,42.337005,-71.08963000000001,12.3,327854.3305331373,4689309.290844157,19,T
1667362739.318725,0,15540,0,GPS1_Frame,42.33702666666667,-71.08958666666668,12.3,327857.95964434417,4689311.609035199,19,T
1667362740.3196292,0,15541,0,GPS1_Frame,42.33706166666666,-71.08956,12.3,327860.2520628776,4689315.441533444,19,T
1667362741.318903,0,15542,0,GPS1_Frame,42.33710166666667,-71.08955166666667,12.3,327861.04774403776,4689319.866358486,19,T
